stop_id,stop_name,transfers,borough
G22,Court Sq,G,Q
G24,21 St,G,Q
G26,Greenpoint Av,G,Bk
G28,Nassau Av,G,Bk
G29,Metropolitan Av,G,Bk
G30,Broadway,G,Bk
G31,Flushing Av,G,Bk
G32,Myrtle-Willoughby Avs,G,Bk
G33,Bedford-Nostrand Avs,G,Bk
G34,Classon Av,G,Bk
G35,Clinton-Washington Avs,G,Bk
G36,Fulton St,G,Bk
A42,Hoyt-Schermerhorn Sts,G,Bk
F20,Bergen St,G,Bk
F21,Carroll St,G,Bk
F22,Smith-9 Sts,G,Bk
F23,4 Av-9 St,G,Bk
F24,7 Av,G,Bk
F25,15 St-Prospect Park,G,Bk
F26,Fort Hamilton Pkwy,G,Bk
F27,Church Av,G,Bk
