stop_id,stop_name,transfers,borough
G08,Forest Hills-71 Av,E F M R,Q
G09,67 Av,M R,Q
G10,63 Dr-Rego Park,M R,Q
G11,Woodhaven Blvd,M R,Q
G12,Grand Av-Newtown,M R,Q
G13,Elmhurst Av,M R,Q
G14,Jackson Hts-Roosevelt Av,E F M R,Q
G15,65 St,M R,Q
G16,Northern Blvd,M R,Q
G18,46 St,M R,Q
G19,Steinway St,M R,Q
G20,36 St,M R,Q
G21,Queens Plaza,E M R,Q
F09,Court Sq-23 St,E M,Q
F11,Lexington Av/53 St,E M,M
F12,5 Av/53 St,E M,M
D15,47-50 Sts-Rockefeller Ctr,B D F M,M
D16,42 St-Bryant Pk,B D F M,M
D17,34 St-Herald Sq,B D F M,M
D18,23 St,F M,M
D19,14 St,F M,M
D20,W 4 St-Wash Sq,A C E B D F M,M
D21,Broadway-Lafayette St,B D F M,M
M18,Delancey St-Essex St,M,M
M16,Marcy Av,J M Z,Bk
M14,Hewes St,J M,Bk
M13,Lorimer St,J M,Bk
M12,Flushing Av,J M,Bk
M11,Myrtle Av,J M Z,Bk
M10,Central Av,M,Bk
M09,Knickerbocker Av,M,Bk
M08,Myrtle-Wyckoff Avs,M,Bk
M06,Seneca Av,M,Q
M05,Forest Av,M,Q
M04,Fresh Pond Rd,M,Q
M01,Middle Village-Metropolitan Av,M,Q
