stop_id,stop_name,transfers,borough
R01,Astoria-Ditmars Blvd,N W,Q
R03,Astoria Blvd,N W,Q
R04,30 Av,N W,Q
R05,Broadway,N W,Q
R06,36 Av,N W,Q
R08,39 Av-Dutch Kills,N W,Q
R11,Lexington Av/59 St,N R W,M
R13,5 Av/59 St,N R W,M
Q05,96 St,Q,M
Q04,86 St,Q,M
Q03,72 St,Q,M
B08,Lexington Av/63 St,Q,M
R14,57 St-7 Av,N Q R W,M
R15,49 St,N R W,M
R16,Times Sq-42 St,N Q R W,M
R17,34 St-Herald Sq,N Q R W,M
R18,28 St,R W,M
R19,23 St,R W,M
R20,14 St-Union Sq,N Q R W,M
R21,8 St-NYU,R W,M
R22,Prince St,R W,M
R23,Canal St,R W,M
Q01,Canal St,N Q,M
R24,City Hall,R W,M
R25,Cortlandt St,R W,M
R26,Rector St,R W,M
R27,Whitehall St-South Ferry,R W,M
R28,Court St,R,Bk
R29,Jay St-MetroTech,R,Bk
R30,DeKalb Av,B Q R,Bk
R31,Atlantic Av-Barclays Ctr,D N R,Bk
R32,Union St,R,Bk
R33,4 Av-9 St,R,Bk
R34,Prospect Av,R,Bk
R35,25 St,R,Bk
R36,36 St,D N R,Bk
R39,45 St,R N,Bk
R40,53 St,R N,Bk
R41,59 St,N R,Bk
R42,Bay Ridge Av,R,Bk
R43,77 St,R,Bk
R44,86 St,R,Bk
R45,Bay Ridge-95 St,R,Bk
D24,Atlantic Av-Barclays Ctr,B Q,Bk
D25,7 Av,B Q,Bk
D26,Prospect Park,B Q,Bk
D27,Parkside Av,Q,Bk
D28,Church Av,B Q,Bk
D29,Beverley Rd,Q,Bk
D30,Cortelyou Rd,Q,Bk
D31,Newkirk Plaza,B Q,Bk
D32,Avenue H,Q,Bk
D33,Avenue J,Q,Bk
D34,Avenue M,Q,Bk
D35,Kings Hwy,B Q,Bk
D37,Avenue U,Q,Bk
D38,Neck Rd,Q,Bk
D39,Sheepshead Bay,B Q,Bk
D40,Brighton Beach,B Q,Bk
D41,Ocean Pkwy,Q,Bk
D42,W 8 St-NY Aquarium,Q,Bk
D43,Coney Island-Stillwell Av,Q,Bk
B12,9 Av,D,Bk
B13,Fort Hamilton Pkwy,D,Bk
B14,50 St,D,Bk
B15,55 St,D,Bk
B16,62 St,D,Bk
B17,71 St,D,Bk
B18,79 St,D,Bk
B19,18 Av,D,Bk
B20,20 Av,D,Bk
B21,Bay Pkwy,D,Bk
B22,25 Av,D,Bk
B23,Bay 50 St,D,Bk
N02,8 Av,N,Bk
N03,Fort Hamilton Pkwy,N,Bk
N04,New Utrecht Av,N,Bk
N05,18 Av,N,Bk
N06,20 Av,N,Bk
N07,Bay Pkwy,N,Bk
N08,Kings Hwy,N,Bk
N09,Avenue U,N,Bk
N10,86 St,N,Bk
D43,Coney Island-Stillwell Av,N,Bk
G05,Jamaica Center-Parsons/Archer,J Z,Q
G06,Sutphin Blvd-Archer Av-JFK Airport,J Z,Q
J12,121 St,J Z,Q
J13,111 St,J,Q
J14,104 St,J Z,Q
J15,Woodhaven Blvd,J Z,Q
J16,85 St-Forest Pkwy,J,Q
J17,75 St-Elderts Ln,J Z,Q
J19,Cypress Hills,J,Bk
J20,Crescent St,J Z,Bk
J21,Norwood Av,J Z,Bk
J22,Cleveland St,J,Bk
J23,Van Siclen Av,J Z,Bk
J24,Alabama Av,J,Bk
J27,Broadway Junction,J Z,Bk
J28,Chauncey St,J Z,Bk
J29,Halsey St,J,Bk
J30,Gates Av,J Z,Bk
J31,Kosciuszko St,J,Bk
M11,Myrtle Av,J M Z,Bk
M12,Flushing Av,J M,Bk
M13,Lorimer St,J M,Bk
M14,Hewes St,J M,Bk
M16,Marcy Av,J M Z,Bk
M18,Delancey St-Essex St,J Z,M
M19,Bowery,J Z,M
M20,Canal St,J Z,M
M21,Chambers St,J Z,M
M22,Fulton St,J Z,M
M23,Broad St,J Z,M
M01,Middle Village-Metropolitan Av,M,Q
M04,Fresh Pond Rd,M,Q
M05,Forest Av,M,Q
M06,Seneca Av,M,Q
M08,Myrtle-Wyckoff Avs,M,Bk
M09,Knickerbocker Av,M,Bk
M10,Central Av,M,Bk
L01,8 Av,L,M
L02,6 Av,L,M
L03,14 St-Union Sq,L,M
L05,3 Av,L,M
L06,1 Av,L,M
L08,Bedford Av,L,Bk
L10,Lorimer St,L,Bk
L11,Graham Av,L,Bk
L12,Grand St,L,Bk
L13,Montrose Av,L,Bk
L14,Morgan Av,L,Bk
L15,Jefferson St,L,Bk
L16,DeKalb Av,L,Bk
L17,Myrtle-Wyckoff Avs,L,Bk
L19,Halsey St,L,Q
L20,Wilson Av,L,Bk
L21,Bushwick Av-Aberdeen St,L,Bk
L22,Broadway Junction,L,Bk
L24,Atlantic Av,L,Bk
L25,Sutter Av,L,Bk
L26,Livonia Av,L,Bk
L27,New Lots Av,L,Bk
L28,East 105 St,L,Bk
L29,Canarsie-Rockaway Pkwy,L,Bk
S01,Franklin Av,S,Bk
