stop_id,stop_name,transfers,borough
247,Flatbush Av-Brooklyn College,2 5,Bk
246,Newkirk Av-Little Haiti,2 5,Bk
245,Beverly Rd,2 5,Bk
244,Church Av,2 5,Bk
243,Winthrop St,2 5,Bk
242,Sterling St,2 5,Bk
241,President St-Medgar Evers College,2 5,Bk
239,Franklin Av-Medgar Evers College,2 3 4 5,Bk
235,Atlantic Av-Barclays Ctr,2 3 4 5 B Q D N R,Bk
234,Nevins St,2 3 4 5,Bk
423,Borough Hall,4 5,Bk
420,Bowling Green,4 5,M
419,Wall St,4 5,M
418,Fulton St,2 3 4 5 A C J Z,M
640,Brooklyn Bridge-City Hall,4 5 6 J Z,M
635,14 St-Union Sq,N Q R W L 4 5 6,M
631,Grand Central-42 St,4 5 6 7 S,M
629,59 St,N R W 4 5 6,M
626,86 St,4 5 6,M
621,125 St,4 5 6,M
416,138 St-Grand Concourse,5,Bx
222,149 St-Grand Concourse,2 5,Bx
221,3 Av-149 St,2 5,Bx
220,Jackson Av,2 5,Bx
219,Prospect Av,2 5,Bx
218,Intervale Av,2 5,Bx
217,Simpson St,2 5,Bx
216,Freeman St,2 5,Bx
215,174 St,2 5,Bx
214,West Farms Sq-E Tremont Av,2 5,Bx
213,E 180 St,2 5,Bx
212,Bronx Park East,2 5,Bx
211,Pelham Pkwy,2 5,Bx
210,Allerton Av,2 5,Bx
209,Burke Av,2 5,Bx
208,Gun Hill Rd,2 5,Bx
207,219 St,2 5,Bx
206,225 St,2 5,Bx
205,233 St,2 5,Bx
204,Nereid Av,2 5,Bx
505,Morris Park,5,Bx
504,Pelham Pkwy,5,Bx
503,Gun Hill Rd,5,Bx
502,Baychester Av,5,Bx
501,Eastchester-Dyre Av,5,Bx
