stop_id,stop_name,borough,transfers
R01,Astoria-Ditmars Blvd,Q,N W
R03,Astoria Blvd,Q,N W
R04,30 Av,Q,N W
R05,Broadway,Q,N W
R06,36 Av,Q,N W
R08,39 Av-Dutch Kills,Q,N W
R11,Lexington Av/59 St,M,N R W
R13,5 Av/59 St,M,N R W
Q05,96 St,M,Q
Q04,86 St,M,Q
Q03,72 St,M,Q
B08,Lexington Av/63 St,M,Q
R14,57 St-7 Av,M,N Q R W
R15,49 St,M,N R W
R16,Times Sq-42 St,M,N Q R W
R17,34 St-Herald Sq,M,N Q R W
R18,28 St,M,R W
R19,23 St,M,R W
R20,14 St-Union Sq,M,N Q R W
R21,8 St-NYU,M,R W
R22,Prince St,M,R W
R23,Canal St,M,R W
Q01,Canal St,M,N Q
R24,City Hall,M,R W
R25,Cortlandt St,M,R W
R26,Rector St,M,R W
R27,Whitehall St-South Ferry,M,R W
R28,Court St,Bk,R
R29,Jay St-MetroTech,Bk,R
R30,DeKalb Av,Bk,B Q R
R31,Atlantic Av-Barclays Ctr,Bk,D N R
R32,Union St,Bk,R
R33,4 Av-9 St,Bk,R
R34,Prospect Av,Bk,R
R35,25 St,Bk,R
R36,36 St,Bk,D N R
R39,45 St,Bk,R N
R40,53 St,Bk,R N
R41,59 St,Bk,N R
R42,Bay Ridge Av,Bk,R
R43,77 St,Bk,R
R44,86 St,Bk,R
R45,Bay Ridge-95 St,Bk,R
D24,Atlantic Av-Barclays Ctr,Bk,B Q
D25,7 Av,Bk,B Q
D26,Prospect Park,Bk,B Q
D27,Parkside Av,Bk,Q
D28,Church Av,Bk,B Q
D29,Beverley Rd,Bk,Q
D30,Cortelyou Rd,Bk,Q
D31,Newkirk Plaza,Bk,B Q
D32,Avenue H,Bk,Q
D33,Avenue J,Bk,Q
D34,Avenue M,Bk,Q
D35,Kings Hwy,Bk,B Q
D37,Avenue U,Bk,Q
D38,Neck Rd,Bk,Q
D39,Sheepshead Bay,Bk,B Q
D40,Brighton Beach,Bk,B Q
D41,Ocean Pkwy,Bk,Q
D42,W 8 St-NY Aquarium,Bk,Q
D43,Coney Island-Stillwell Av,Bk,Q
B12,9 Av,Bk,D
B13,Fort Hamilton Pkwy,Bk,D
B14,50 St,Bk,D
B15,55 St,Bk,D
B16,62 St,Bk,D
B17,71 St,Bk,D
B18,79 St,Bk,D
B19,18 Av,Bk,D
B20,20 Av,Bk,D
B21,Bay Pkwy,Bk,D
B22,25 Av,Bk,D
B23,Bay 50 St,Bk,D
N02,8 Av,Bk,N
N03,Fort Hamilton Pkwy,Bk,N
N04,New Utrecht Av,Bk,N
N05,18 Av,Bk,N
N06,20 Av,Bk,N
N07,Bay Pkwy,Bk,N
N08,Kings Hwy,Bk,N
N09,Avenue U,Bk,N
N10,86 St,Bk,N
