stop_id,stop_name,transfers,borough
701,Flushing-Main St,7,Q
702,Mets-Willets Point,7,Q
705,111 St,7,Q
706,103 St-Corona Plaza,7,Q
707,Junction Blvd,7,Q
708,90 St-Elmhurst Av,7,Q
709,82 St-Jackson Hts,7,Q
710,74 St-Broadway,7,Q
711,69 St,7,Q
712,61 St-Woodside,7,Q
713,52 St,7,Q
714,46 St-Bliss St,7,Q
715,40 St-Lowery St,7,Q
716,33 St-Rawson St,7,Q
718,Queensboro Plaza,7,Q
719,Court Sq,7,Q
720,Hunters Point Av,7,Q
721,Vernon Blvd-Jackson Av,7,Q
723,Grand Central-42 St,4 5 6 7,M
724,5 Av,7,M
725,Times Sq-42 St,N Q R W 1 2 3 7,M
726,34 St-Hudson Yards,7,M
