stop_id,stop_name,transfers,borough
247,Flatbush Av-Brooklyn College,2 5,Bk
246,Newkirk Av-Little Haiti,2 5,Bk
245,Beverly Rd,2 5,Bk
244,Church Av,2 5,Bk
243,Winthrop St,2 5,Bk
242,Sterling St,2 5,Bk
241,President St-Medgar Evers College,2 5,Bk
239,Franklin Av-Medgar Evers College,2 3 4 5,Bk
238,Eastern Pkwy-Brooklyn Museum,2 3,Bk
237,Grand Army Plaza,2 3,Bk
236,Bergen St,2 3,Bk
235,Atlantic Av-Barclays Ctr,2 3 4 5 B Q D N R,Bk
234,Nevins St,2 3 4 5,Bk
233,Hoyt St,2 3,Bk
232,Borough Hall,2 3,Bk
231,Clark St,2 3,Bk
230,Wall St,2 3,M
229,Fulton St,A C J Z 2 3 4 5,M
228,Park Place,2 3,M
137,Chambers St,1 2 3,M
132,14 St (6th Av),1 2 3 F M L,M
128,34 St-Penn Station,A C E 1 2 3,M
127,Times Sq-42 St,1 2 3 7 N Q R W S,M
123,72 St,1 2 3,M
120,96 St,1 2 3,M
227,Central Park North (110 St),2 3,M
226,116 St,2 3,M
225,125 St,2 3,M
224,135 St,2 3,M
222,149 St-Grand Concourse,2 5,Bx
221,3 Av-149 St,2 5,Bx
220,Jackson Av,2 5,Bx
219,Prospect Av,2 5,Bx
218,Intervale Av,2 5,Bx
217,Simpson St,2 5,Bx
216,Freeman St,2 5,Bx
215,174 St,2 5,Bx
214,West Farms Sq-E Tremont Av,2 5,Bx
213,E 180 St,2 5,Bx
212,Bronx Park East,2 5,Bx
211,Pelham Pkwy,2 5,Bx
210,Allerton Av,2 5,Bx
209,Burke Av,2 5,Bx
208,Gun Hill Rd,2 5,Bx
207,219 St,2 5,Bx
206,225 St,2 5,Bx
205,233 St,2 5,Bx
204,Nereid Av,2 5,Bx
201,Wakefield-241 St,2,Bx
